wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3430228615947332,17.928727164254003,0.215812749332138,93.77211081124756,31.64072012844032,62.131390682807236,35.0,5.0,6.530122803116738,8.738356975204544,7.909365240614494,20.07519080557399,0.7535395729584782,0.8188324010510333,0.6831579244111992,0.6620560249627526,88.77211081124756,0.3564263577748722
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.20853352241262121,33.76976619199332,0.1821130962053694,105.44095751668881,59.626528587685755,45.81442892900306,35.0,5.0,18.816613616907702,8.786604668917992,6.797106893325806,19.71920054849363,0.8258016155744307,0.742720110254397,0.5416830591685418,0.7013170648535948,100.44095751668881,0.5936475523720339
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3439508696164339,16.8802876140981,0.2409968386306119,102.2746278360483,29.917627793459545,72.35700004258875,35.0,5.0,7.802703414784361,7.8832143578643095,9.662071307317797,18.285496330913737,0.7863992732540975,0.795028296747154,0.6903635077099317,0.6915948108219591,97.2746278360483,0.3075583886466702
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,0.23681366611308005,33.639316339715,0.17370988415027844,108.9556944419572,59.48992230802794,49.46577213392926,35.0,5.0,6.533826752473905,4.01635686276256,1.4800413343877294,5.8897476544954515,0.7140287743354066,0.7789729623577218,0.7027400628300854,0.7114155202267419,103.9556944419572,0.5722622760337929
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.12542540175739983,34.115651356303644,0.09781598152101795,92.8496043882453,59.913473195381115,32.93613119286418,35.0,5.0,12.361387865663794,8.148572090467887,8.333294057833506,16.8029148911425,0.7081633840360348,0.6927579266553657,0.5082771704388862,0.6585072840235334,87.8496043882453,0.6820004895024642
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.3263172551925071,26.34200341590789,0.21781435550900413,103.98633419194493,46.57847503907734,57.407859152867594,35.0,5.0,6.705327950881526,11.268677690393115,7.752934091730886,21.143777353230366,0.822812180604879,0.848382697495224,0.6695716251379609,0.6969278613568329,98.98633419194493,0.4705546014943514
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.23140762535037251,31.383335750254542,0.20809627459100571,111.87923127035614,55.60770155874058,56.271529711615564,35.0,5.0,17.595808800778837,14.191359655118177,6.1942502171413505,6.557268532648382,0.6919818527330402,0.7995565972360696,0.6993429597445179,0.7193093583905599,106.87923127035614,0.5202853809649719
DC-A,SBVCHP_SBORC,R245fa,R1234ze(E),0.3158879621378098,19.134157449941426,0.27376423215896983,107.67703326945329,33.97076615341852,73.70626711603477,35.0,5.0,16.83958414744285,6.755707878595111,9.832505685970695,28.230954708804056,0.7687262877442063,0.8308353501430272,0.6564927213570684,0.7078217100286527,102.67703326945329,0.330850678790745
DC-A,SBVCHP_SBORC,R245fa,R1234ze(E),0.28509207434392586,21.351661919411484,0.25040183441200753,112.52539344094008,37.964467157691686,74.56092628324839,35.0,5.0,14.970976961186308,7.161889375955427,5.899125544361715,16.599946327952352,0.7908415129295412,0.8446390780198193,0.5871994484189207,0.7209961383077576,107.52539344094008,0.3530744314694764
DC-A,SBVCHP_SBORC,R245fa,R227ea,0.20979669666024328,33.73500487475562,0.1834199544017825,102.89857502186709,59.50013576181526,43.39843926005183,35.0,5.0,16.066485551109967,8.396257690341287,1.062662348800259,11.339329582419433,0.7213207072588373,0.8150101311555269,0.5934790751954818,0.6935604017392586,97.89857502186709,0.6077732566436747
DC-A,SBVCHP_SBORC,R245fa,R227ea,0.27509636731235654,31.487720734443066,0.2044152370398977,106.64205995786754,55.66038594485204,50.98167401301551,35.0,5.0,9.055783203395881,10.51663665467158,2.2046154542342618,28.164480086528645,0.7582041258280142,0.7710366134913305,0.65903408437588,0.7048465958636067,101.64205995786754,0.5476117462389514
DC-A,SBVCHP_SBORC,R245fa,R227ea,0.24532382870372488,33.24390536898885,0.20664996308041197,104.08723476942463,58.67142031405303,45.415814455371596,35.0,5.0,14.015641533078771,7.359796130986743,1.1890997813620792,15.060411851556482,0.830576195879159,0.8344885534401291,0.6724592843102547,0.6972364798572711,99.08723476942463,0.5921188582018769
DC-A,SBVCHP_SBORC,R245fa,R152a,0.18240556749604547,33.803811345894296,0.13587325127913077,98.89538503129052,59.51886272453029,39.37652230676023,35.0,5.0,9.496200708365187,8.31761030258595,9.221970179012807,20.325860808860117,0.7174921467928081,0.7759082892804415,0.7316159369498924,0.6804954791973797,93.89538503129052,0.6338848571172663
DC-A,SBVCHP_SBORC,R600,R1234ze(E),0.2232168830772087,33.2609184656541,0.18175598435953474,117.52351205600239,59.05364807246611,58.46986398353628,35.0,5.0,9.441185544134722,12.93455404577325,1.1300220047773972,20.62840187530836,0.7319859911296521,0.7076124399912451,0.5846679187484235,0.733389053968835,112.52351205600239,0.5248116326397225
DC-A,SBVCHP_SBORC,R600,R1234ze(E),0.3158548240669023,19.624199963900423,0.24781197232654853,112.83376663788579,34.91894042941966,77.91482620846612,35.0,5.0,8.773406993441455,10.266499846425516,8.840019858542451,26.27947106770431,0.6789188027904213,0.8234232776470587,0.7199547236456725,0.7217940081723905,107.83376663788579,0.3238219485245303
DC-A,SBVCHP_SBORC,R600,R227ea,0.3137111228080571,19.767300964807408,0.21831528291618119,93.19181180164955,34.85539810926501,58.33641369238454,35.0,5.0,8.143291359239859,12.120636998856622,7.598984959802374,13.271396272908339,0.8368256087301558,0.8457835299056481,0.6150356511585569,0.6598323655321607,88.19181180164955,0.39522261077544923
DC-A,SBVCHP_SBORC,R600,R227ea,0.27688362033726077,29.644493538269174,0.23482613154358992,111.9875880824074,52.55604945891728,59.43153862349012,35.0,5.0,15.235200760898907,11.841532968427838,7.848696953836643,28.307531427066586,0.8399153417118789,0.7942215144189284,0.5006903338719931,0.7195936413026487,106.9875880824074,0.4912350152097632
